link,result
https://www.instagram.com/p/B_-FyJ9AMry/?igshid=4ao8m91dgyf4,20
https://www.instagram.com/p/B_8Pcospd8U/?igshid=ovx3j6gm8zkg,20
https://www.instagram.com/p/B_pCOnRBVIi/?igshid=1fdtvamjd9bjr,12.5
https://www.instagram.com/p/B_jdgMTJv4l/?igshid=v7w9ohyt7485,12.5
https://www.instagram.com/p/B_ttR26pqck/?igshid=n8bnyjxw7f57,12.5
https://www.instagram.com/p/B_T9Rz3J8kQ/?igshid=k5xv7t8prov5,12.5
https://www.instagram.com/p/B_0MO6yl2Wf/?igshid=tr12gb381obs,12.5
https://www.instagram.com/p/CACF6XpiPJQ/?igshid=1nl9lvv4ccrwu,12.5
https://www.instagram.com/p/B__hHn6ixC2/?igshid=1n1ng2xe30ba3,12.5
https://www.instagram.com/p/B_9zQIZiSfi/?igshid=r9280nuvwt6k,12.5
https://www.instagram.com/p/B_6W8ZAi8Jl/?igshid=wbug3uoholox,12.5
https://www.instagram.com/p/CAA-hW3HBUE/,10
https://www.instagram.com/p/CAA9PG7lC8S/,10
https://www.instagram.com/p/CAA-KyygOWX/,10
https://www.instagram.com/p/CAFZy7ng-n7/,10
https://www.instagram.com/p/CAFLNisgzNU/,10
https://www.instagram.com/p/B_yGsuynyWv/,0
https://www.instagram.com/p/B9R57wiJeF-/,0
https://www.instagram.com/p/CAA3PiWg5N1/,0
https://www.instagram.com/p/CAA3DhUA6_b/,0
https://www.instagram.com/p/CAAy7drDERR/,0
https://www.instagram.com/p/B8rPrkXFGXG/,0
https://www.instagram.com/p/CADKdjCJXw3/?igshid=1ah3k8rua8dzb,0
https://www.instagram.com/p/B_7bz0EJIHp/?igshid=xjwaj20kp6zh,0
https://www.instagram.com/p/B_4zYyUJbkZ/?igshid=negsoamzw2jn,0
https://www.instagram.com/p/B8PWu0tFA5i/?igshid=h4n6fm9rx3vz,0
