postUrl,profileUrl,username,fullName,commentCount,likeCount,pubDate,description,imgUrl,postId,caption,query,timestamp,location,locationId,likedByViewer,isSidecar,type,instagramPostUrl,taggedFullName1,taggedUsername1,taggedFullName2,taggedUsername2,taggedFullName3,taggedUsername3,taggedFullName4,taggedUsername4,taggedFullName5,taggedUsername5,taggedFullName6,taggedUsername6,taggedFullName7,taggedUsername7,taggedFullName8,taggedUsername8,taggedFullName9,taggedUsername9,taggedFullName10,taggedUsername10,videoUrl,viewCount,ownerId,taggedFullName11,taggedUsername11,taggedFullName12,taggedUsername12,taggedFullName13,taggedUsername13,taggedFullName14,taggedUsername14,taggedFullName15,taggedUsername15,taggedFullName16,taggedUsername16,taggedFullName17,taggedUsername17,taggedFullName18,taggedUsername18,taggedFullName19,taggedUsername19,taggedFullName20,taggedUsername20
https://www.instagram.com/p/B_h9SDtps8J/,https://www.instagram.com/arwagulzar139,arwagulzar139,arwagulzar139,0,21,2020-04-28T16:04:30.000Z,"#doubletaptowin
#win
#doubletype
#keepgivinglikes",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/e35/95215495_238526530829806_1479059237067933472_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=h2oFFsJv8-cAX_3dbY3&oh=60a08121abdf402822cb440a5008ca5f&oe=5EE700A7,2297386806710554377,"Photo by arwagulzar139 on April 28, 2020. Image may contain: possible text that says 'Double Tap Το Win'",#doubletaptowin,2020-05-14T15:45:53.097Z,,,false,false,Photo,https://www.instagram.com/p/B_h9SDtps8J/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/B-z6bjQhj5q/,https://www.instagram.com/we_like_fortnite_420_f4f,we_like_fortnite_420_f4f,Fortniter,0,13,2020-04-10T18:54:31.000Z,"#Repost @slaughterkingjx with @make_repost
・・・
#doubletaptowin
#fortnitevolcano #fortnitememes #fortnite #fortnitegun #fortniteskin",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/e35/92456211_541635003402488_4096431099619829696_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=XfUmpisj2cAAX-sjdff&oh=933fe89059b0052b921d650bd3df305b&oe=5EE54E2E,2284426415988686442,"Photo by Fortniter on April 10, 2020.",#doubletaptowin,2020-05-14T15:45:53.275Z,,,false,false,Photo,https://www.instagram.com/p/B-z6bjQhj5q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/B-pR1M2AmmC/,https://www.instagram.com/abhijith_dop,abhijith_dop,Abhijith Abhi,0,15,2020-04-06T15:47:21.000Z,#doubletaptowin,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/e35/92032452_1739416369555190_655315302974144188_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=9VeP2wAqK_4AX9CtC2Y&oh=aa740125ff766f631b16022146e740a1&oe=5EE878D5,2281433108953852290,"Photo by Abhijith Abhi on April 06, 2020. Image may contain: possible text that says 'DOUBLE TAP TO WIN X X'",#doubletaptowin,2020-05-14T15:45:53.548Z,,,false,false,Photo,https://www.instagram.com/p/B-pR1M2AmmC/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/B-odbWpBDuM/,https://www.instagram.com/frt_pub,frt_pub,Fortnite,0,30,2020-04-06T08:09:27.000Z,#фортнайт #мемы #мемыфортнайт #ржака #лол #а #ad #смешныемемы #смешно #фортнайттоп #fortnitememes #fortnite #memes #frt #lol #lmao #fort #форточка #dankmemes #dank  #doubletaptowin #justdoit #solo #victoryroyale #123 #1 #2020,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/e35/92105592_505417250154543_3580050352151430071_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=jndacUH4vGAAX9rGFHu&oh=50a668c04a11b0e75b40950929ae906c&oe=5EE8D987,2281202634348313484,"Photo by Fortnite on April 06, 2020. Image may contain: 1 person, text that says 'когда друг спросил какой ему скин купить я: RT зд) абсолютный ноль экипировка 1 200'",#doubletaptowin,2020-05-14T15:45:53.801Z,,,false,false,Photo,https://www.instagram.com/p/B-odbWpBDuM/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/B-gQJ--H8z1/,https://www.instagram.com/nickyinbangkok,nickyinbangkok,Padhavee,1,6,2020-04-03T03:39:33.000Z,เอาชนะเราได้น่ะ #doubletaptowin,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/e35/91730102_706633359874549_7939198740839198140_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=FO4IoTS1z7YAX-w9Et6&oh=ac8a9afc5982a1c5082189ffec56f9d1&oe=5EE71540,2278892466283203829,"Photo by Padhavee on April 02, 2020.",#doubletaptowin,2020-05-14T15:45:54.021Z,,,false,false,Photo,https://www.instagram.com/p/B-gQJ--H8z1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/B-VsjAjFB2G/,https://www.instagram.com/brawlstars_80,brawlstars_80,Bʀᴀᴡʟ Sᴛᴀʀs [1.6ᴋ],1,47,2020-03-30T01:15:59.000Z,"Double tap to win
Credits @brawlstars_72 @rascalrainy
◾
◾
◾
❤| {like my post!
💭| {comment what you think!
🎁| {save this post!
🔥| {share this post to ur story!
💪| {tag my posts!
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Partners:
1. @brawl.stars_central
2. @juicy.brawl
3. @brawlstars_falcon
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
*DM me if ya want to be my partner I'll see if u can :)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
⭕Results of the poll # 1⭕
Final: Spike 12-11 Bea
Spike is the winner
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
🔵Top 3 on poll # 2🔵
1. Bibi 37 pts (good: 38-bad: 1)
2. Piper 36 pts (good: 42-bad: 6)
3. Leon 36 pts (good: 40-bad: 4)
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Next poll start soon!
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Follow my others pages⏬
@_.spike_uwu_ for my spike account
◼
@a_nsfw_spikee for posting ships in bs (sorry for creating this account😂)
◼
@cubes_80_ for posting cubes
◾
◾
◾
Follow @brawl.stars_80 to see the latest results, polls and posts",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/e35/91033532_923510878105950_2875201364119376477_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=mcMJagC1gx4AX8V9Sp5&oh=5ce92d3a2dec10760e507df315edfa0d&oe=5EE5F348,2275921106522348934,"Photo shared by Bʀᴀᴡʟ Sᴛᴀʀs [1.6ᴋ] on March 29, 2020 tagging @brawlstars_emp, @brawl.maniac, @brawlstars_72, @brawlstarsrainy, @brawlstarsbestt, @brawlstarsdachi, @brawlstars_cent, @brawlstars_falcon, @brawlstars.72, and @juicy.brawl.",#doubletaptowin,2020-05-14T15:45:54.259Z,,,false,false,Photo,https://www.instagram.com/p/B-VsjAjFB2G/,Bʀᴀᴡʟ Sᴛᴀʀs [130ᴋ],brawlstars_emp,80K Brawl Stars Page ✌🏻,brawl.maniac,Brawl Stars  [68.9k],brawlstars_72,Brawlstars Rainy🌵,brawlstarsrainy,Brawl Stars [67k],brawlstarsbestt,Brawl Stars,brawlstarsdachi,Bʀᴀᴡʟ Sᴛᴀʀs [4.1ᴋ],brawlstars_cent,Brawl Falcon [5K 🔜 6K],brawlstars_falcon,BrawlStars.72 [0.2k],brawlstars.72,#brawlstars,juicy.brawl,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/B-Pwl5shUVt/,https://www.instagram.com/frt_pub,frt_pub,Fortnite,0,23,2020-03-27T17:55:54.000Z,"Используй код автора при покупке предметов фортнайт: CraM
. . . 
#фортнайт #мемы #мемыфортнайт #ржака #лол #а #ad #смешныемемы #смешно #фортнайттоп #fortnitememes #fortnite #memes #frt #lol #lmao #fort #форточка #dankmemes #dank  #doubletaptowin #justdoit #solo #victoryroyale #123 #1 #2020",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/e35/91436924_2853751771530365_9134300229347891895_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=5bpmu5K70_kAX8QbfrC&oh=4f58931ffacfce64982c4234b883257a&oe=5EE6D39B,2274250047648777581,"Photo by Fortnite on March 27, 2020. Image may contain: 2 people, text",#doubletaptowin,2020-05-14T15:45:54.467Z,,,false,false,Photo,https://www.instagram.com/p/B-Pwl5shUVt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/B-KjfFohIKx/,https://www.instagram.com/frt_pub,frt_pub,Fortnite,1,32,2020-03-25T17:25:10.000Z,#фортнайт #мемы #мемыфортнайт #ржака #лол #а #ad #смешныемемы #смешно #фортнайттоп #fortnitememes #fortnite #memes #frt #lol #lmao #fort #форточка #dankmemes #dank  #doubletaptowin #justdoit #solo #victoryroyale #123 #1 #2020,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/e35/90746599_511899819395559_7439085928798769777_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=05RpJ_aQolIAX82SVSJ&oh=68e8c3c4dcd22d40b7d12923c89b34ff&oe=5EE70A2B,2272785029941985969,"Photo by Fortnite on March 25, 2020. Image may contain: text",#doubletaptowin,2020-05-14T15:45:54.929Z,,,false,false,Photo,https://www.instagram.com/p/B-KjfFohIKx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/B-Hsu-TnFIH/,https://www.instagram.com/heartbroken__sayari,heartbroken__sayari,💔heartbroken__Sayari💔,0,107,2020-03-24T14:48:15.000Z,Føŕ ÿøû...®️💖💝♥️ #foryou💞💖💟 #doubletaptowin #heartforyou ♥️#hearttouching💖 #lovegames #loveislife💖 #doubletap#foryou❤ #heartbroken #openheart #teradil #gamechanger #gamersofinstagram #gamerlover #trending#truelove #trendingtopic#lovetriangle #heartbroken__shayari_ 💔#teraahsaas #gamechangers #lovestorys #terebinyara❤ #tereliye #gamesworkshop #gamenight #doubletrouble #viralgame #doble5 #hearttouchingquotes @dz_words1,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/e35/90673933_199104628017467_8615726782229852075_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=WL5-izIi64wAX8RGdCP&oh=0563c97ebeddb7ba105551d3aed2d17d&oe=5EE88459,2271981279075127815,Photo by 💔heartbroken__Sayari💔 in For:you.,#doubletaptowin,2020-05-14T15:45:55.417Z,For:you,102595821365941,false,false,Photo,https://www.instagram.com/p/B-Hsu-TnFIH/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/B-FJWZYhsTp/,https://www.instagram.com/frt_pub,frt_pub,Fortnite,1,28,2020-03-23T15:00:35.000Z,"Используй тег автора: CraM при покупке в магазине предметов
. . . . 
#фортнайт #мемы #мемыфортнайт #ржака #лол #а #ad #смешныемемы #смешно #фортнайттоп #fortnitememes #fortnite #memes #frt #lol #lmao #fort #форточка #dankmemes #dank  #doubletaptowin #justdoit #solo #victoryroyale #123 #1 #2020 #тегавтора",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/e35/90713715_719926045209498_3362011703437137781_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=gHpq3r809jcAX9wPQW1&oh=feacba191e589ea76cc36ee082eda3c7&oe=5EE822E3,2271262708580402409,"Photo by Fortnite on March 23, 2020. Image may contain: 1 person, standing, text that says 'когда лутаешь противника после своего тиммейта'",#doubletaptowin,2020-05-14T15:45:55.658Z,,,false,false,Photo,https://www.instagram.com/p/B-FJWZYhsTp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
